期間指定,2018/01/01～2018/09/03
株価指数,NKY/JPY
商品名,Product,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,金利相当額,配当相当額,取引数量,建玉数量
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-02,"22,800","22,926","22,970","22,670","22,867","22,867",67,,,"13,993","238,665"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-03,"22,867","22,912","23,251","22,842","23,232","23,232",365,,,"24,166","227,977"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-04,"23,232","23,181","23,728","23,100","23,690","23,690",458,,,"49,069","223,805"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-05,"23,690","23,680","23,892","23,559","23,865","23,865",175,,,"29,919","228,642"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-08,"23,865","23,850","24,041","23,842","24,014","24,014",149,,,"17,766","232,212"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-09,"24,014","23,969","24,071","23,814","23,931","23,915",-99,,,"21,272","237,249"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-10,"23,915","23,870","23,939","23,626","23,687","23,687",-228,,,"29,768","242,011"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-11,"23,687","23,737","23,897","23,663","23,882","23,882",195,,,"11,356","243,838"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-12,"23,882","23,855","23,932","23,645","23,912","23,912",30,,,"16,897","245,723"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-15,"23,912","23,891","23,924","23,739","23,758","23,758",-154,,,"10,406","248,242"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-16,"23,758","23,769","24,026","23,658","23,736","23,736",-22,,,"27,018","246,334"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-17,"23,736","23,726","24,167","23,698","24,101","24,101",365,,,"26,876","240,849"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-18,"24,101","24,139","24,166","23,750","23,956","23,956",-145,,,"32,550","249,384"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-19,"23,956","23,914","24,002","23,807","23,968","23,968",12,,,"13,290","249,065"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-22,"23,968","23,912","24,059","23,795","24,020","24,020",52,,,"16,517","247,564"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-23,"24,020","24,047","24,238","23,964","24,068","24,068",48,,,"31,833","247,077"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-24,"24,068","24,075","24,157","23,818","23,960","23,960",-108,,,"15,632","251,952"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-25,"23,960","23,947","24,085","23,693","23,898","23,868",-92,,,"23,973","255,395"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-26,"23,868","23,837","24,061","23,750","23,950","23,950",82,,174,"19,290","252,913"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-29,"23,950","23,901","23,925","23,631","23,750","23,702",-248,,,"12,076","256,175"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-30,"23,702","23,647","23,808","23,210","23,400","23,353",-349,,,"32,300","251,926"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-01-31,"23,353","23,409","23,629","23,249","23,475","23,475",122,,,"12,496","253,199"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-01,"23,475","23,548","23,760","23,430","23,584","23,584",109,,,"12,723","251,277"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-02,"23,584","23,578","23,617","23,187","23,250","23,250",-334,,,"17,953","250,254"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-05,"23,250","23,089","23,108","21,370","21,619","21,619","-1,631",,,"69,469","208,509"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-06,"21,619","21,825","22,530","21,222","22,399","22,441",822,,,"45,668","215,063"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-07,"22,441","22,492","22,708","21,535","22,058","22,058",-383,,,"30,287","212,469"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-08,"22,058","21,835","22,140","21,224","21,299","21,243",-815,,,"21,067","216,970"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-09,"21,243","21,376","21,814","20,683","21,448","21,404",161,,,"37,743","217,513"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-12,"21,404","21,426","21,838","21,384","21,784","21,784",380,,,"11,956","191,714"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-13,"21,784","21,800","21,825","21,090","21,373","21,373",-411,,,"16,852","195,638"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-14,"21,373","21,454","21,734","21,105","21,729","21,729",356,,,"15,428","189,173"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-15,"21,729","21,645","21,767","21,398","21,586","21,586",-143,,,"9,836","188,445"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-16,"21,586","21,672","22,052","21,611","22,015","22,015",429,,,"9,842","186,523"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-19,"22,015","21,941","22,270","21,879","22,151","22,119",104,,,"11,379","190,586"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-20,"22,119","22,145","22,237","21,935","21,998","21,998",-121,,,"6,193","192,789"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-21,"21,998","22,095","22,360","21,946","22,029","22,029",31,,,"6,967","193,101"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-22,"22,029","22,023","22,094","21,747","21,897","21,861",-168,,,"8,103","193,576"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-23,"21,861","21,923","22,207","21,860","22,165","22,165",304,,"1,218","4,354","192,647"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-26,"22,165","22,189","22,524","22,144","22,500","22,500",335,,,"8,596","191,459"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-27,"22,500","22,526","22,626","22,289","22,310","22,310",-190,,,"11,749","190,453"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-02-28,"22,310","22,347","22,492","22,024","22,089","22,042",-268,,,"11,660","192,035"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-01,"22,042","22,050","22,135","21,145","21,209","21,209",-833,,,"27,380","197,343"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-02,"21,209","21,189","21,382","20,737","21,246","21,246",37,,,"30,032","194,304"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-05,"21,246","21,094","21,540","20,905","21,474","21,474",228,,,"13,244","194,549"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-06,"21,474","21,508","21,905","21,450","21,760","21,760",286,,,"11,552","193,927"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-07,"21,760","21,350","21,592","21,260","21,522","21,522",-238,,,"14,385","194,443"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-08,"21,522","21,577","21,743","21,362","21,743","21,706",184,,,"8,668","193,970"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-09,"21,706","21,758","22,016","21,468","21,981","21,981",275,,,"15,384","193,531"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-12,"21,981","22,034","22,120","21,796","21,859","21,879",-102,,,"12,158","193,840"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-13,"21,879","21,844","22,214","21,784","21,850","21,830",-49,,,"13,040","194,285"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-14,"21,830","21,831","22,040","21,691","21,779","21,802",-28,,,"9,837","195,134"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-15,"21,802","21,816","21,980","21,626","21,903","21,903",101,,,"7,542","195,263"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-16,"21,903","21,929","21,940","21,617","21,710","21,710",-193,,,"6,901","196,078"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-19,"21,710","21,675","21,742","21,160","21,355","21,355",-355,,,"14,028","195,764"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-20,"21,355","21,345","21,560","21,280","21,511","21,511",156,,,"7,720","195,568"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-21,"21,511","21,552","21,625","21,348","21,415","21,385",-126,,,"4,037","195,779"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-22,"21,385","21,435","21,624","21,080","21,098","21,098",-287,,,"12,065","196,522"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-23,"21,098","20,844","21,042","20,442","20,471","20,471",-627,,,"35,901","198,968"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-26,"20,471","20,472","21,035","20,369","20,957","20,976",505,,,"20,875","199,497"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-27,"20,976","21,011","21,625","20,978","21,157","21,157",181,,"15,833","22,318","201,068"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-28,"21,157","20,912","21,512","20,853","21,403","21,403",246,,,"15,132","199,934"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-29,"21,403","21,375","21,805","21,170","21,665","21,665",262,,,"13,473","198,050"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-03-30,"21,665","21,561","21,706","21,450","21,607","21,607",-58,,,"8,000","199,014"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-04-02,"21,607","21,564","21,762","21,080","21,155","21,155",-452,,,"14,098","200,160"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-04-03,"21,155","21,224","21,655","21,197","21,640","21,640",485,,,"12,484","197,805"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-04-04,"21,640","21,527","21,738","21,200","21,690","21,690",50,,,"16,078","199,175"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-04-05,"21,690","21,723","22,065","21,568","22,039","22,018",328,,,"16,328","196,405"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-04-06,"22,018","21,707","21,989","21,495","21,606","21,606",-412,,,"21,327","198,416"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-04-09,"21,606","21,554","21,910","21,524","21,701","21,701",95,,,"9,290","198,320"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2018-04-10,"21,701","21,752","22,082","21,665","22,020","22,020",319,,,"11,212","196,204"
