trading_day,target,wd_Monday,wd_Thursday,wd_Wednesday,wd_Thursday,wd_Friday,up_flg,down_flg,up_cnt_rolling5_0.0,up_cnt_rolling5_1.0,up_cnt_rolling5_2.0,up_cnt_rolling5_3.0,up_cnt_rolling5_4.0,up_cnt_rolling5_5.0,up_must_length,down_must_length,box_length,RCI9_p,RCI9_m,RCI9_slope_p,RCI9_slope_m,RSI,RSI_slope,cross_25_50_-1,cross_25_50_1,cross_25_75_-1,cross_25_75_1,cross_50_75_-1,cross_50_75_1,MA25_slope_p,MA25_slope_m,MA50_slope_p,MA50_slope_m,MA75_slope_p,MA75_slope_m,MA25_dev_p,MA25_dev_m,BLGR_sigma_p_dev_p,BLGR_sigma_p_dev_m,BLGR_2sigma_p_dev_p,BLGR_2sigma_p_dev_m,BLGR_sigma_m_dev_p,BLGR_sigma_m_dev_m,BLGR_2sigma_m_dev_p,BLGR_2sigma_m_dev_m
2013-04-17,1,0,0,1,0,0,0,1,0,0,1,0,0,0,84,146,71,30.000000000000004,0.0,21.666666666666664,0.0,62.037142880385744,-2.1127575741806766,0,0,0,0,0,0,38.23999999999978,0.0,37.279999999998836,0.0,32.813333333331684,0.0,0.04082764759161696,0.0,0.00503752729114124,0.0,0.0,-0.028373043369111728,0.07926091700321505,0.0,0.1206413621568527,0.0
2013-04-18,1,0,1,0,1,0,1,0,0,0,1,0,0,0,98,83,6,53.333333333333336,0.0,23.333333333333332,0.0,62.189921072305836,0.1527781919200919,0,0,0,0,0,0,33.20000000000073,0.0,38.64000000000124,0.0,33.733333333333576,0.0,0.03883052050152696,0.0,0.0026584741712191097,0.0,0.0,-0.03107931390503079,0.07771014119197328,0.0,0.1196131601419113,0.0
2013-04-19,0,0,0,0,0,1,1,0,0,0,0,1,0,0,29,99,274,43.333333333333336,0.0,0.0,-10.0,66.6681680036121,4.478246931306259,0,0,0,0,0,0,43.279999999998836,0.0,48.13999999999942,0.0,37.493333333333794,0.0,0.05705874106266651,0.0,0.018872139966441482,0.0,0.0,-0.016651648612529914,0.09821921389551799,0.0,0.14271502960039936,0.0
2013-04-22,0,1,0,0,0,0,0,1,0,0,0,1,0,0,30,94,33,36.66666666666667,0.0,0.0,-6.666666666666664,66.86509714487386,0.1969291412617622,0,0,0,0,0,0,46.80000000000109,0.0,43.95999999999913,0.0,39.46666666666715,0.0,0.0542285545777653,0.0,0.01527775636955317,0.0,0.0,-0.020897349675812395,0.09628725566292769,0.0,0.14184128775576066,0.0
2013-04-23,0,0,0,0,0,0,1,0,0,0,0,1,0,0,28,126,149,3.3333333333333326,0.0,0.0,-33.333333333333336,69.2853646693681,2.4202675244942355,0,0,0,0,0,0,51.35999999999876,0.0,47.18000000000029,0.0,44.19999999999891,0.0,0.062487826143415026,0.0,0.021892972263346175,0.0,0.0,-0.015713996499155374,0.10644137832458565,0.0,0.15418844987713173,0.0
2013-04-24,0,0,0,1,0,0,1,0,0,0,0,0,1,0,37,33,201,0.0,-21.666666666666657,0.0,-24.99999999999999,71.62804208442665,2.34267741505856,0,0,0,0,0,0,49.1200000000008,0.0,51.88000000000102,0.0,43.64000000000124,0.0,0.07148247281060284,0.0,0.028299190340220885,0.0,0.0,-0.011538163763595757,0.1184516973615449,0.0,0.1697275681343183,0.0
2013-04-25,0,0,1,0,1,0,1,0,0,0,0,0,1,0,65,80,75,0.0,-35.00000000000001,0.0,-13.33333333333335,72.5873299293473,0.9592878449206523,0,0,0,0,0,0,57.79999999999927,0.0,55.159999999999854,0.0,42.97333333333336,0.0,0.07225431753508,0.0,0.027275571858071605,0.0,0.0,-0.014081570360728095,0.12135215941347244,0.0,0.1751620822579135,0.0
2013-04-26,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,69,169,0.0,-35.00000000000001,0.0,0.0,67.2164610309444,-5.370868898402904,0,0,0,0,0,0,53.92000000000007,0.0,50.36000000000058,0.0,38.8133333333335,0.0,0.055777804922738684,0.0,0.011085390057353239,0.0,0.0,-0.029976918494234287,0.10460396661322487,0.0,0.15816519990610306,0.0
2013-04-29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,32,59,86,0.0,-35.00000000000001,0.0,0.0,67.75313771672187,0.536676685777465,0,0,0,0,0,0,56.55999999999949,0.0,49.0,0.0,38.146666666665624,0.0,0.05374702773706654,0.0,0.009121486478060053,0.0,0.0,-0.03187789187616907,0.10250206055595099,0.0,0.1559875852338557,0.0
2013-04-30,0,0,0,0,0,0,1,0,0,0,0,0,1,0,35,78,24,0.0,-26.66666666666666,8.333333333333346,0.0,68.06027414412365,0.3071364274017867,0,0,0,0,0,0,52.600000000000364,0.0,48.85999999999876,0.0,39.78666666666686,0.0,0.05091326482711421,0.0,0.006306245492200602,0.0,0.0,-0.03466818720290038,0.09965834753948534,0.0,0.15314531515908225,0.0
