期間指定,2012/01/01～2012/12/31
株価指数,NKY/JPY
商品名,Product,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,金利相当額,配当相当額,取引数量,建玉数量
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-02,"8,429",,,,,"8,429",,,,,"10,717"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-03,"8,429","8,422","8,632","8,422","8,571","8,571",142,-1,,"1,818","10,712"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-04,"8,571","8,573","8,573","8,493","8,520","8,520",-51,-4,,"1,550","11,263"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-05,"8,520","8,525","8,525","8,444","8,494","8,494",-26,-1,,"1,374","11,992"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-06,"8,494","8,492","8,503","8,347","8,357","8,357",-137,,,"2,109","12,368"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-09,"8,357","8,330","8,395","8,310","8,353","8,353",-4,-1,,"1,273","12,381"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-10,"8,353","8,361","8,480","8,361","8,465","8,465",112,-1,,"1,455","12,322"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-11,"8,465","8,465","8,465","8,409","8,449","8,449",-16,-3,,931,"12,438"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-12,"8,449","8,434","8,450","8,361","8,412","8,412",-37,-1,,"1,766","12,611"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-13,"8,412","8,415","8,513","8,415","8,456","8,456",44,-1,,"2,698","13,002"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-16,"8,456","8,458","8,458","8,353","8,414","8,414",-42,-1,,"2,057","13,326"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-17,"8,414","8,414","8,510","8,407","8,480","8,480",66,-1,,"2,283","13,336"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-18,"8,480","8,483","8,630","8,443","8,605","8,605",125,-3,,"3,545","13,527"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-19,"8,605","8,595","8,743","8,588","8,719","8,719",114,-1,,"2,912","13,811"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-20,"8,719","8,724","8,793","8,712","8,765","8,772",53,-1,,"3,004","14,474"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-23,"8,772","8,777","8,815","8,746","8,806","8,806",34,-1,,"2,361","14,788"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-24,"8,806","8,795","8,826","8,761","8,811","8,803",-3,-1,,"1,720","15,154"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-25,"8,803","8,841","8,909","8,820","8,885","8,885",82,-3,,"3,044","15,210"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-26,"8,885","8,884","8,918","8,839","8,863","8,863",-22,-1,40,"1,943","15,166"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-27,"8,863","8,872","8,891","8,800","8,821","8,832",-31,-1,,"2,418","15,434"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-30,"8,832","8,829","8,836","8,745","8,764","8,764",-68,-1,,"2,857","16,154"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-01-31,"8,764","8,769","8,842","8,760","8,821","8,821",57,-1,,"1,757","16,319"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-01,"8,821","8,801","8,903","8,769","8,863","8,863",42,-3,,"2,186","16,882"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-02,"8,863","8,874","8,906","8,856","8,882","8,882",19,-1,,"1,913","17,096"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-03,"8,882","8,869","8,940","8,826","8,940","8,940",58,-1,,"2,720","17,470"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-06,"8,940","8,932","8,955","8,875","8,911","8,911",-29,-1,,"2,652","18,211"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-07,"8,911","8,910","8,964","8,889","8,951","8,951",40,-1,,"3,126","18,543"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-08,"8,951","8,950","9,014","8,939","9,000","9,000",49,-3,,"4,082","19,303"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-09,"9,000","8,996","9,053","8,942","9,036","9,036",36,-1,,"3,767","19,938"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-10,"9,036","9,038","9,038","8,897","8,922","8,925",-111,-1,,"4,620","20,475"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-13,"8,925","8,975","9,028","8,944","9,010","9,019",94,-1,,"5,705","22,023"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-14,"9,019","9,007","9,111","8,977","9,111","9,111",92,-1,,"6,362","22,321"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-15,"9,111","9,112","9,319","9,102","9,227","9,227",116,-3,40,"9,226","22,464"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-16,"9,227","9,234","9,388","9,216","9,375","9,375",148,-1,,"5,925","22,400"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-17,"9,375","9,378","9,504","9,365","9,477","9,477",102,-1,,"8,622","22,326"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-20,"9,477","9,543","9,588","9,430","9,484","9,484",7,-1,,"7,800","22,226"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-21,"9,484","9,455","9,523","9,439","9,471","9,478",-6,-1,,"6,562","22,172"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-22,"9,478","9,473","9,616","9,447","9,577","9,577",99,-3,,"8,576","22,733"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-23,"9,577","9,572","9,625","9,512","9,587","9,587",10,-1,,"7,188","22,991"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-24,"9,587","9,618","9,751","9,579","9,722","9,722",135,-1,725,"8,262","22,546"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-27,"9,722","9,753","9,754","9,475","9,584","9,584",-138,-1,,"14,287","21,633"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-28,"9,584","9,578","9,826","9,528","9,790","9,790",206,-1,,"12,238","21,850"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-02-29,"9,790","9,800","9,875","9,704","9,740","9,740",-50,-4,,"10,876","21,995"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-01,"9,740","9,750","9,867","9,634","9,792","9,792",52,-1,,"10,457","21,399"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-02,"9,792","9,799","9,814","9,733","9,804","9,804",12,-1,,"7,459","22,507"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-05,"9,804","9,809","9,809","9,627","9,689","9,689",-115,-1,,"10,513","22,842"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-06,"9,689","9,710","9,733","9,490","9,540","9,540",-149,-1,,"11,537","22,909"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-07,"9,540","9,534","9,691","9,506","9,670","9,670",130,-3,,"7,157","23,838"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-08,"9,670","9,665","9,906","9,637","9,896","9,896",226,-1,,"10,726","24,142"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-09,"9,896","9,906","10,064","9,859","10,038","10,038",142,-1,,"14,257","18,834"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-12,"10,038","10,066","10,066","9,887","9,945","9,937",-101,-1,,"8,599","18,411"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-13,"9,937","9,955","10,117","9,896","10,117","10,117",180,-1,,"10,526","17,995"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-14,"10,117","10,136","10,169","10,063","10,114","10,118",1,-4,20,"9,481","18,370"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-15,"10,118","10,120","10,176","10,084","10,125","10,125",7,-2,,"7,761","18,601"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-16,"10,125","10,130","10,207","10,101","10,129","10,129",4,-1,,"8,434","18,936"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-19,"10,129","10,164","10,185","10,081","10,155","10,149",20,,,"7,678","19,453"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-20,"10,149","10,149","10,202","10,064","10,118","10,118",-31,-1,,"4,747","20,803"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-21,"10,118","10,132","10,150","10,080","10,090","10,090",-28,-4,,"6,008","21,415"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-22,"10,090","10,080","10,155","9,997","10,022","10,022",-68,-1,,"10,101","22,658"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-23,"10,022","10,013","10,047","9,926","10,006","10,006",-16,-1,,"9,575","22,778"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-26,"10,006","10,048","10,133","10,022","10,119","10,119",113,-1,,"6,480","23,058"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-27,"10,119","10,149","10,279","10,137","10,230","10,220",101,-1,"8,832","14,083","24,221"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-28,"10,220","10,156","10,206","10,084","10,119","10,119",-101,-4,,"11,945","23,807"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-29,"10,119","10,146","10,160","10,016","10,088","10,075",-44,-1,,"9,621","24,000"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-03-30,"10,075","10,083","10,167","10,041","10,162","10,162",87,-1,,"9,984","23,558"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-04-02,"10,162","10,181","10,213","10,037","10,102","10,102",-60,-1,,"8,611","24,403"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-04-03,"10,102","10,102","10,107","10,008","10,053","10,053",-49,-1,,"6,044","25,073"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-04-04,"10,053","10,065","10,077","9,687","9,727","9,735",-318,-4,,"16,615","25,567"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-04-05,"9,735","9,737","9,812","9,632","9,729","9,721",-14,-1,,"12,268","25,258"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-04-06,"9,721","9,723","9,748","9,507","9,553","9,553",-168,-1,,"9,367","25,188"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-04-09,"9,553","9,543","9,625","9,514","9,565","9,565",12,-1,,"7,379","24,516"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-04-10,"9,565","9,570","9,657","9,347","9,348","9,348",-217,-1,,"10,732","24,337"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2012-04-11,"9,348","9,375","9,537","9,364","9,516","9,510",162,-3,,"8,791","23,900"
